date,wtd
2012/01/01 00:00:00,16.06
2012/01/01 08:00:00,16.07
2012/01/01 16:00:00,16.07
2012/01/02 00:00:00,16.09
2012/01/02 08:00:00,16.1
2012/01/02 16:00:00,16.07
2012/01/03 00:00:00,16.1
2012/01/03 08:00:00,16.12
2012/01/03 16:00:00,16.12
2012/01/04 00:00:00,16.12
2012/01/04 08:00:00,16.11
2012/01/04 16:00:00,16.12
2012/01/05 00:00:00,16.11
2012/01/05 08:00:00,16.11
2012/01/05 16:00:00,16.09
2012/01/06 00:00:00,16.12
2012/01/06 08:00:00,16.14
2012/01/06 16:00:00,16.15
2012/01/07 00:00:00,16.16
2012/01/07 08:00:00,16.16
2012/01/07 16:00:00,16.15
2012/01/08 00:00:00,16.16
2012/01/08 08:00:00,16.16
2012/01/08 16:00:00,16.15
2012/01/09 00:00:00,16.17
2012/01/09 08:00:00,16.17
2012/01/09 16:00:00,16.17
2012/01/10 00:00:00,16.18
2012/01/10 08:00:00,16.18
2012/01/10 16:00:00,16.18
2012/01/11 00:00:00,16.19
2012/01/11 08:00:00,16.19
2012/01/11 16:00:00,16.18
2012/01/12 00:00:00,16.18
2012/01/12 08:00:00,16.19
2012/01/12 16:00:00,16.18
2012/01/13 00:00:00,16.18
2012/01/13 08:00:00,16.17
2012/01/13 16:00:00,16.17
2012/01/14 00:00:00,16.18
2012/01/14 08:00:00,16.19
2012/01/14 16:00:00,16.18
2012/01/15 00:00:00,16.19
2012/01/15 08:00:00,16.19
2012/01/15 16:00:00,16.19
2012/01/16 00:00:00,16.2
2012/01/16 08:00:00,16.21
2012/01/16 16:00:00,16.21
2012/01/17 00:00:00,16.22
2012/01/17 08:00:00,16.22
2012/01/17 16:00:00,16.22
2012/01/18 00:00:00,16.23
2012/01/18 08:00:00,16.24
2012/01/18 16:00:00,16.24
2012/01/19 00:00:00,16.24
2012/01/19 08:00:00,16.24
2012/01/19 16:00:00,16.24
2012/01/20 00:00:00,16.23
2012/01/20 08:00:00,16.23
2012/01/20 16:00:00,16.24
2012/01/21 00:00:00,16.24
2012/01/21 08:00:00,16.25
2012/01/21 16:00:00,16.26
2012/01/22 00:00:00,16.25
2012/01/22 08:00:00,16.25
2012/01/22 16:00:00,16.26
2012/01/23 00:00:00,16.27
2012/01/23 08:00:00,16.28
2012/01/23 16:00:00,16.28
2012/01/24 00:00:00,16.28
2012/01/24 08:00:00,16.29
2012/01/24 16:00:00,16.29
2012/01/25 00:00:00,16.31
2012/01/25 08:00:00,16.31
2012/01/25 16:00:00,16.31
2012/01/26 00:00:00,16.32
2012/01/26 08:00:00,16.32
2012/01/26 16:00:00,16.32
2012/01/27 00:00:00,16.34
2012/01/27 08:00:00,16.35
2012/01/27 16:00:00,16.36
2012/01/28 00:00:00,16.35
2012/01/28 08:00:00,16.36
2012/01/28 16:00:00,16.36
2012/01/29 00:00:00,16.36
2012/01/29 08:00:00,16.37
2012/01/29 16:00:00,16.38
2012/01/30 00:00:00,16.39
2012/01/30 08:00:00,16.4
2012/01/30 16:00:00,16.39
2012/01/31 00:00:00,16.4
2012/01/31 08:00:00,16.4
2012/01/31 16:00:00,16.4
2012/02/01 00:00:00,16.41
2012/02/01 08:00:00,16.41
2012/02/01 16:00:00,16.41
2012/02/02 00:00:00,16.42
2012/02/02 08:00:00,16.43
2012/02/02 16:00:00,16.43
2012/02/03 00:00:00,16.44
2012/02/03 08:00:00,16.44
2012/02/03 16:00:00,16.44
2012/02/04 00:00:00,16.43
2012/02/04 08:00:00,16.45
2012/02/04 16:00:00,16.43
2012/02/05 00:00:00,16.47
2012/02/05 08:00:00,16.47
2012/02/05 16:00:00,16.47
2012/02/06 00:00:00,16.48
2012/02/06 08:00:00,16.48
2012/02/06 16:00:00,16.47
2012/02/07 00:00:00,16.48
2012/02/07 08:00:00,16.48
2012/02/07 16:00:00,16.49
2012/02/08 00:00:00,16.49
2012/02/08 08:00:00,16.51
2012/02/08 16:00:00,16.5
2012/02/09 00:00:00,16.51
2012/02/09 08:00:00,16.51
2012/02/09 16:00:00,16.48
2012/02/10 00:00:00,16.52
2012/02/10 08:00:00,16.52
2012/02/10 16:00:00,16.52
2012/02/11 00:00:00,16.52
2012/02/11 08:00:00,16.53
2012/02/11 16:00:00,16.54
2012/02/12 00:00:00,16.55
2012/02/12 08:00:00,16.55
2012/02/12 16:00:00,16.55
2012/02/13 00:00:00,16.56
2012/02/13 08:00:00,16.56
2012/02/13 16:00:00,16.55
2012/02/14 00:00:00,16.56
2012/02/14 08:00:00,16.57
2012/02/14 16:00:00,16.57
2012/02/15 00:00:00,16.58
2012/02/15 08:00:00,16.58
2012/02/15 16:00:00,16.57
2012/02/16 00:00:00,16.59
2012/02/16 08:00:00,16.59
2012/02/16 16:00:00,16.6
2012/02/17 00:00:00,16.62
2012/02/17 08:00:00,16.62
2012/02/17 16:00:00,16.62
2012/02/18 00:00:00,16.63
2012/02/18 08:00:00,16.64
2012/02/18 16:00:00,16.64
2012/02/19 00:00:00,16.64
2012/02/19 08:00:00,16.65
2012/02/19 16:00:00,16.65
2012/02/20 00:00:00,16.66
2012/02/20 08:00:00,16.64
2012/02/20 16:00:00,16.68
2012/02/21 00:00:00,16.69
2012/02/21 08:00:00,16.69
2012/02/21 16:00:00,16.69
2012/02/22 00:00:00,16.7
2012/02/22 08:00:00,16.7
2012/02/22 16:00:00,16.7
2012/02/23 00:00:00,16.71
2012/02/23 08:00:00,16.71
2012/02/23 16:00:00,16.71
2012/02/24 00:00:00,16.71
2012/02/24 08:00:00,16.71
2012/02/24 16:00:00,16.72
2012/02/25 00:00:00,16.71
2012/02/25 08:00:00,16.71
2012/02/25 16:00:00,16.7
2012/02/26 00:00:00,16.71
2012/02/26 08:00:00,16.7
2012/02/26 16:00:00,16.7
2012/02/27 00:00:00,16.71
2012/02/27 08:00:00,16.71
2012/02/27 16:00:00,16.7
2012/02/28 00:00:00,16.7
2012/02/28 08:00:00,16.68
2012/02/28 16:00:00,16.69
2012/02/29 00:00:00,16.68
2012/02/29 08:00:00,16.67
2012/02/29 16:00:00,16.66
2012/03/01 00:00:00,16.67
2012/03/01 08:00:00,16.66
2012/03/01 16:00:00,16.65
2012/03/02 00:00:00,16.65
2012/03/02 08:00:00,16.63
2012/03/02 16:00:00,16.63
2012/03/03 00:00:00,16.62
2012/03/03 08:00:00,16.61
2012/03/03 16:00:00,16.59
2012/03/04 00:00:00,16.57
2012/03/04 08:00:00,16.58
