date,wtd
2013/09/01 00:00:00,21.03
2013/09/01 08:00:00,20.97
2013/09/01 16:00:00,20.89
2013/09/02 00:00:00,20.89
2013/09/02 08:00:00,20.89
2013/09/02 16:00:00,20.86
2013/09/03 00:00:00,20.83
2013/09/03 08:00:00,20.82
2013/09/03 16:00:00,20.8
2013/09/04 00:00:00,20.8
2013/09/04 08:00:00,20.81
2013/09/04 16:00:00,20.81
2013/09/05 00:00:00,20.8
2013/09/05 08:00:00,20.81
2013/09/05 16:00:00,20.81
2013/09/06 00:00:00,20.82
2013/09/06 08:00:00,20.84
2013/09/06 16:00:00,20.86
2013/09/07 00:00:00,20.9
2013/09/07 08:00:00,20.95
2013/09/07 16:00:00,20.97
2013/09/08 00:00:00,20.99
2013/09/08 08:00:00,21.0
2013/09/08 16:00:00,21.01
2013/09/09 00:00:00,20.99
2013/09/09 08:00:00,20.97
2013/09/09 16:00:00,20.96
2013/09/10 00:00:00,20.95
2013/09/10 08:00:00,20.93
2013/09/10 16:00:00,20.89
2013/09/11 00:00:00,20.87
2013/09/11 08:00:00,20.86
2013/09/11 16:00:00,20.85
2013/09/12 00:00:00,20.83
2013/09/12 08:00:00,20.82
2013/09/12 16:00:00,20.79
2013/09/13 00:00:00,20.78
2013/09/13 08:00:00,20.77
2013/09/13 16:00:00,20.75
2013/09/14 00:00:00,20.74
2013/09/14 08:00:00,20.74
2013/09/14 16:00:00,20.72
2013/09/15 00:00:00,20.71
2013/09/15 08:00:00,20.69
2013/09/15 16:00:00,20.67
2013/09/16 00:00:00,20.67
2013/09/16 08:00:00,20.65
2013/09/16 16:00:00,20.63
2013/09/17 00:00:00,20.6
2013/09/17 08:00:00,20.6
2013/09/17 16:00:00,20.63
2013/09/18 00:00:00,20.66
2013/09/18 08:00:00,20.68
2013/09/18 16:00:00,20.69
2013/09/19 00:00:00,20.72
2013/09/19 08:00:00,20.77
2013/09/19 16:00:00,20.81
2013/09/20 00:00:00,20.87
2013/09/20 08:00:00,20.94
2013/09/20 16:00:00,20.98
2013/09/21 00:00:00,21.03
2013/09/21 08:00:00,21.09
2013/09/21 16:00:00,21.14
2013/09/22 00:00:00,21.19
2013/09/22 08:00:00,21.24
2013/09/22 16:00:00,21.26
2013/09/23 00:00:00,21.29
2013/09/23 08:00:00,21.32
2013/09/23 16:00:00,21.31
2013/09/24 00:00:00,21.34
2013/09/24 08:00:00,21.36
2013/09/24 16:00:00,21.38
2013/09/25 00:00:00,21.4
2013/09/25 08:00:00,21.42
2013/09/25 16:00:00,21.44
2013/09/26 00:00:00,21.48
2013/09/26 08:00:00,21.51
2013/09/26 16:00:00,21.52
2013/09/27 00:00:00,21.55
2013/09/27 08:00:00,21.58
2013/09/27 16:00:00,21.6
2013/09/28 00:00:00,21.62
2013/09/28 08:00:00,21.65
2013/09/28 16:00:00,21.66
2013/09/29 00:00:00,21.69
2013/09/29 08:00:00,21.7
2013/09/29 16:00:00,21.71
2013/09/30 00:00:00,21.75
2013/09/30 08:00:00,21.77
2013/09/30 16:00:00,21.81
2013/10/01 00:00:00,21.86
2013/10/01 08:00:00,21.88
2013/10/01 16:00:00,21.9
2013/10/02 00:00:00,21.92
2013/10/02 08:00:00,21.95
2013/10/02 16:00:00,21.98
2013/10/03 00:00:00,22.01
2013/10/03 08:00:00,22.05
2013/10/03 16:00:00,22.08
2013/10/04 00:00:00,22.11
2013/10/04 08:00:00,22.14
2013/10/04 16:00:00,22.16
2013/10/05 00:00:00,22.17
2013/10/05 08:00:00,22.18
2013/10/05 16:00:00,22.21
2013/10/06 00:00:00,22.22
2013/10/06 08:00:00,22.23
2013/10/06 16:00:00,22.23
2013/10/07 00:00:00,22.22
2013/10/07 08:00:00,22.2
2013/10/07 16:00:00,22.21
2013/10/08 00:00:00,22.21
2013/10/08 08:00:00,22.19
2013/10/08 16:00:00,22.15
2013/10/09 00:00:00,22.11
2013/10/09 08:00:00,22.07
2013/10/09 16:00:00,22.02
2013/10/10 00:00:00,21.99
2013/10/10 08:00:00,21.95
2013/10/10 16:00:00,21.91
2013/10/11 00:00:00,21.92
2013/10/11 08:00:00,21.94
2013/10/11 16:00:00,21.95
2013/10/12 00:00:00,21.94
2013/10/12 08:00:00,21.92
2013/10/12 16:00:00,21.9
2013/10/13 00:00:00,21.89
2013/10/13 08:00:00,21.88
2013/10/13 16:00:00,21.87
2013/10/14 00:00:00,21.87
2013/10/14 08:00:00,21.87
2013/10/14 16:00:00,21.87
2013/10/15 00:00:00,21.88
2013/10/15 08:00:00,21.89
2013/10/15 16:00:00,21.89
2013/10/16 00:00:00,21.9
2013/10/16 08:00:00,21.92
2013/10/16 16:00:00,21.94
2013/10/17 00:00:00,21.99
2013/10/17 08:00:00,22.03
2013/10/17 16:00:00,22.05
2013/10/18 00:00:00,22.1
2013/10/18 08:00:00,22.13
2013/10/18 16:00:00,22.16
2013/10/19 00:00:00,22.21
2013/10/19 08:00:00,22.25
2013/10/19 16:00:00,22.29
2013/10/20 00:00:00,22.33
2013/10/20 08:00:00,22.35
2013/10/20 16:00:00,22.37
2013/10/21 00:00:00,22.4
2013/10/21 08:00:00,22.42
2013/10/21 16:00:00,22.43
2013/10/22 00:00:00,22.45
2013/10/22 08:00:00,22.46
2013/10/22 16:00:00,22.47
2013/10/23 00:00:00,22.49
2013/10/23 08:00:00,22.48
2013/10/23 16:00:00,22.48
2013/10/24 00:00:00,22.51
2013/10/24 08:00:00,22.53
2013/10/24 16:00:00,22.51
2013/10/25 00:00:00,22.47
2013/10/25 08:00:00,22.4
2013/10/25 16:00:00,22.32
2013/10/26 00:00:00,22.25
2013/10/26 08:00:00,22.17
2013/10/26 16:00:00,22.11
2013/10/27 00:00:00,22.07
2013/10/27 08:00:00,22.02
2013/10/27 16:00:00,21.98
2013/10/28 00:00:00,21.97
2013/10/28 08:00:00,21.94
2013/10/28 16:00:00,21.92
2013/10/29 00:00:00,21.92
2013/10/29 08:00:00,21.91
2013/10/29 16:00:00,21.92
2013/10/30 00:00:00,21.94
2013/10/30 08:00:00,21.96
2013/10/30 16:00:00,21.98
2013/10/31 00:00:00,22.01
2013/10/31 08:00:00,22.04
2013/10/31 16:00:00,22.07
2013/11/01 00:00:00,22.09
2013/11/01 08:00:00,22.11
2013/11/01 16:00:00,22.12
2013/11/02 00:00:00,22.13
2013/11/02 08:00:00,22.14
2013/11/02 16:00:00,22.16
2013/11/03 00:00:00,22.19
2013/11/03 08:00:00,22.18
2013/11/03 16:00:00,22.19
2013/11/04 00:00:00,22.23
2013/11/04 08:00:00,22.24
2013/11/04 16:00:00,22.23
2013/11/05 00:00:00,22.25
2013/11/05 08:00:00,22.28
2013/11/05 16:00:00,22.3
2013/11/06 00:00:00,22.35
2013/11/06 08:00:00,22.4
2013/11/06 16:00:00,22.43
2013/11/07 00:00:00,22.48
2013/11/07 08:00:00,22.52
2013/11/07 16:00:00,22.53
2013/11/08 00:00:00,22.56
2013/11/08 08:00:00,22.58
2013/11/08 16:00:00,22.6
2013/11/09 00:00:00,22.61
2013/11/09 08:00:00,22.62
2013/11/09 16:00:00,22.63
2013/11/10 00:00:00,22.65
2013/11/10 08:00:00,22.65
2013/11/10 16:00:00,22.66
2013/11/11 00:00:00,22.69
2013/11/11 08:00:00,22.71
2013/11/11 16:00:00,22.73
2013/11/12 00:00:00,22.76
2013/11/12 08:00:00,22.78
2013/11/12 16:00:00,22.78
2013/11/13 00:00:00,22.79
2013/11/13 08:00:00,22.8
2013/11/13 16:00:00,22.82
2013/11/14 00:00:00,22.83
2013/11/14 08:00:00,22.84
2013/11/14 16:00:00,22.83
2013/11/15 00:00:00,22.8
2013/11/15 08:00:00,22.84
2013/11/15 16:00:00,22.88
2013/11/16 00:00:00,22.91
2013/11/16 08:00:00,22.91
2013/11/16 16:00:00,22.9
2013/11/17 00:00:00,22.89
2013/11/17 08:00:00,22.88
2013/11/17 16:00:00,22.85
2013/11/18 00:00:00,22.84
2013/11/18 08:00:00,22.82
2013/11/18 16:00:00,22.77
2013/11/19 00:00:00,22.77
2013/11/19 08:00:00,22.75
2013/11/19 16:00:00,22.74
2013/11/20 00:00:00,22.74
2013/11/20 08:00:00,22.74
2013/11/20 16:00:00,22.74
2013/11/21 00:00:00,22.75
2013/11/21 08:00:00,22.74
2013/11/21 16:00:00,22.71
2013/11/22 00:00:00,22.73
2013/11/22 08:00:00,22.74
2013/11/22 16:00:00,22.75
2013/11/23 00:00:00,22.75
2013/11/23 08:00:00,22.74
2013/11/23 16:00:00,22.75
2013/11/24 00:00:00,22.76
2013/11/24 08:00:00,22.77
2013/11/24 16:00:00,22.79
2013/11/25 00:00:00,22.79
2013/11/25 08:00:00,22.8
2013/11/25 16:00:00,22.81
2013/11/26 00:00:00,22.82
2013/11/26 08:00:00,22.82
2013/11/26 16:00:00,22.82
2013/11/27 00:00:00,22.83
2013/11/27 08:00:00,22.84
2013/11/27 16:00:00,22.84
2013/11/28 00:00:00,22.85
2013/11/28 08:00:00,22.85
2013/11/28 16:00:00,22.86
2013/11/29 00:00:00,22.85
2013/11/29 08:00:00,22.85
2013/11/29 16:00:00,22.83
2013/11/30 00:00:00,22.82
2013/11/30 08:00:00,22.81
2013/11/30 16:00:00,22.84
2013/12/01 00:00:00,22.87
2013/12/01 08:00:00,22.88
2013/12/01 16:00:00,22.87
2013/12/02 00:00:00,22.89
2013/12/02 08:00:00,22.9
2013/12/02 16:00:00,22.91
2013/12/03 00:00:00,22.93
2013/12/03 08:00:00,22.93
2013/12/03 16:00:00,22.92
2013/12/04 00:00:00,22.93
2013/12/04 08:00:00,22.94
2013/12/04 16:00:00,22.93
2013/12/05 00:00:00,22.94
2013/12/05 08:00:00,22.94
2013/12/05 16:00:00,22.94
2013/12/06 00:00:00,22.95
2013/12/06 08:00:00,22.93
2013/12/06 16:00:00,22.94
2013/12/07 00:00:00,22.97
2013/12/07 08:00:00,22.99
2013/12/07 16:00:00,23.0
2013/12/08 00:00:00,23.01
2013/12/08 08:00:00,23.01
2013/12/08 16:00:00,23.02
2013/12/09 00:00:00,23.03
2013/12/09 08:00:00,23.03
2013/12/09 16:00:00,23.04
2013/12/10 00:00:00,23.04
2013/12/10 08:00:00,23.06
2013/12/10 16:00:00,23.07
2013/12/11 00:00:00,23.08
2013/12/11 08:00:00,23.07
2013/12/11 16:00:00,23.08
2013/12/12 00:00:00,23.08
2013/12/12 08:00:00,23.09
2013/12/12 16:00:00,23.09
2013/12/13 00:00:00,23.1
2013/12/13 08:00:00,23.1
2013/12/13 16:00:00,23.09
2013/12/14 00:00:00,23.11
2013/12/14 08:00:00,23.11
2013/12/14 16:00:00,23.12
2013/12/15 00:00:00,23.13
2013/12/15 08:00:00,23.14
2013/12/15 16:00:00,23.14
2013/12/16 00:00:00,23.15
2013/12/16 08:00:00,23.16
2013/12/16 16:00:00,23.15
2013/12/17 00:00:00,23.16
2013/12/17 08:00:00,23.15
2013/12/17 16:00:00,23.15
2013/12/18 00:00:00,23.16
2013/12/18 08:00:00,23.16
2013/12/18 16:00:00,23.16
2013/12/19 00:00:00,23.17
2013/12/19 08:00:00,23.16
2013/12/19 16:00:00,23.17
2013/12/20 00:00:00,23.18
2013/12/20 08:00:00,23.19
2013/12/20 16:00:00,23.2
2013/12/21 00:00:00,23.22
2013/12/21 08:00:00,23.22
2013/12/21 16:00:00,23.22
2013/12/22 00:00:00,23.22
2013/12/22 08:00:00,23.22
2013/12/22 16:00:00,23.22
2013/12/23 00:00:00,23.22
2013/12/23 08:00:00,23.22
2013/12/23 16:00:00,23.22
2013/12/24 00:00:00,23.22
2013/12/24 08:00:00,23.22
2013/12/24 16:00:00,23.21
2013/12/25 00:00:00,23.21
2013/12/25 08:00:00,23.2
2013/12/25 16:00:00,23.06
2014/01/01 04:00:00,18.98
2014/01/01 08:00:00,19.02
2014/01/02 04:00:00,18.84
2014/01/02 08:00:00,18.86
2014/01/02 12:00:00,18.94
2014/01/03 04:00:00,18.79
2014/01/03 08:00:00,18.8
2014/01/03 12:00:00,18.82
2014/01/04 04:00:00,18.64
2014/01/04 08:00:00,18.7
2014/01/04 12:00:00,18.78
2014/01/05 04:00:00,17.93
2014/01/05 08:00:00,18.11
2014/01/05 12:00:00,18.58
2014/01/06 04:00:00,17.77
2014/01/06 08:00:00,17.78
2014/01/06 12:00:00,17.78
2014/01/07 04:00:00,17.74
2014/01/07 08:00:00,17.75
2014/01/07 12:00:00,17.76
2014/01/08 04:00:00,17.77
2014/01/08 08:00:00,17.75
2014/01/08 12:00:00,17.74
2014/01/09 04:00:00,17.76
2014/01/09 08:00:00,17.79
2014/01/09 12:00:00,17.78
2014/01/10 04:00:00,17.75
2014/01/10 08:00:00,17.75
2014/01/10 12:00:00,17.77
2014/01/11 04:00:00,17.78
2014/01/11 08:00:00,17.77
2014/01/11 12:00:00,17.76
2014/01/12 04:00:00,17.8
2014/01/12 08:00:00,17.79
2014/01/12 12:00:00,17.78
2014/01/13 04:00:00,17.82
2014/01/13 08:00:00,17.82
2014/01/13 12:00:00,17.81
2014/01/14 04:00:00,17.66
2014/01/14 08:00:00,17.78
2014/01/14 12:00:00,17.8
2014/01/15 04:00:00,17.63
2014/01/15 08:00:00,17.63
2014/01/15 12:00:00,17.64
2014/01/16 04:00:00,17.64
2014/01/16 08:00:00,17.65
2014/01/16 12:00:00,17.63
2014/01/17 04:00:00,17.37
2014/01/17 08:00:00,17.4
2014/01/17 12:00:00,17.58
2014/01/18 04:00:00,17.16
2014/01/18 08:00:00,17.18
2014/01/18 12:00:00,17.29
2014/01/19 04:00:00,17.08
2014/01/19 08:00:00,17.1
2014/01/19 12:00:00,17.13
2014/01/20 04:00:00,16.68
2014/01/20 08:00:00,16.79
2014/01/20 12:00:00,17.05
2014/01/21 04:00:00,16.5
2014/01/21 08:00:00,16.55
2014/01/21 12:00:00,16.61
2014/01/22 04:00:00,16.43
2014/01/22 08:00:00,16.44
2014/01/22 12:00:00,16.47
2014/01/23 04:00:00,16.32
2014/01/23 08:00:00,16.34
2014/01/23 12:00:00,16.41
2014/01/24 04:00:00,16.27
2014/01/24 08:00:00,16.28
2014/01/24 12:00:00,16.29
2014/01/25 04:00:00,16.43
2014/01/25 08:00:00,16.38
2014/01/25 12:00:00,16.33
2014/01/26 04:00:00,16.56
2014/01/26 08:00:00,16.5
2014/01/26 12:00:00,16.48
2014/01/27 04:00:00,16.64
2014/01/27 08:00:00,16.61
2014/01/27 12:00:00,16.58
2014/01/28 04:00:00,16.73
2014/01/28 08:00:00,16.7
2014/01/28 12:00:00,16.67
2014/01/29 04:00:00,16.88
2014/01/29 08:00:00,16.86
2014/01/29 12:00:00,16.75
2014/01/30 04:00:00,17.01
2014/01/30 08:00:00,16.99
2014/01/30 12:00:00,16.98
2014/01/31 04:00:00,17.14
2014/01/31 08:00:00,17.05
2014/01/31 12:00:00,17.03
2014/02/01 04:00:00,17.03
2014/02/01 08:00:00,17.12
2014/02/01 12:00:00,17.13
2014/02/02 04:00:00,16.81
2014/02/02 08:00:00,16.86
2014/02/02 12:00:00,16.9
2014/02/03 04:00:00,16.69
2014/02/03 08:00:00,16.72
2014/02/03 12:00:00,16.77
2014/02/04 04:00:00,16.54
2014/02/04 08:00:00,16.59
2014/02/04 12:00:00,16.64
2014/02/05 04:00:00,15.98
2014/02/05 08:00:00,16.2
2014/02/05 12:00:00,16.49
2014/02/06 04:00:00,15.8
2014/02/06 08:00:00,15.85
2014/02/06 12:00:00,15.91
2014/02/07 04:00:00,15.46
2014/02/07 08:00:00,15.56
2014/02/07 12:00:00,15.69
2014/02/08 04:00:00,15.37
2014/02/08 08:00:00,15.38
2014/02/08 12:00:00,15.42
2014/02/09 04:00:00,15.21
2014/02/09 08:00:00,15.23
2014/02/09 12:00:00,15.26
2014/02/10 04:00:00,15.15
2014/02/10 08:00:00,15.18
2014/02/10 12:00:00,15.21
2014/02/11 04:00:00,15.1
2014/02/11 08:00:00,15.11
2014/02/11 12:00:00,15.13
2014/02/12 04:00:00,14.98
2014/02/12 08:00:00,15.01
2014/02/12 12:00:00,15.1
2014/02/13 04:00:00,14.95
2014/02/13 08:00:00,15.0
2014/02/13 12:00:00,14.99
2014/02/14 04:00:00,14.99
2014/02/14 08:00:00,14.97
2014/02/14 12:00:00,14.96
2014/02/15 04:00:00,15.05
2014/02/15 08:00:00,15.02
2014/02/15 12:00:00,15.01
2014/02/16 04:00:00,15.11
2014/02/16 08:00:00,15.09
2014/02/16 12:00:00,15.07
2014/02/17 04:00:00,15.23
2014/02/17 08:00:00,15.12
2014/02/17 12:00:00,15.13
2014/02/18 04:00:00,15.45
2014/02/18 08:00:00,15.37
2014/02/18 12:00:00,15.31
2014/02/19 04:00:00,15.46
2014/02/19 08:00:00,15.51
2014/02/19 12:00:00,15.49
2014/02/20 04:00:00,15.53
2014/02/20 08:00:00,15.48
2014/02/20 12:00:00,15.46
2014/02/21 04:00:00,15.58
2014/02/21 08:00:00,15.57
2014/02/21 12:00:00,15.55
2014/02/22 04:00:00,15.71
2014/02/22 08:00:00,15.63
2014/02/22 12:00:00,15.61
2014/02/23 04:00:00,15.92
2014/02/23 08:00:00,15.88
2014/02/23 12:00:00,15.79
2014/02/24 04:00:00,16.04
2014/02/24 08:00:00,16.0
2014/02/24 12:00:00,15.96
2014/02/25 04:00:00,16.09
2014/02/25 08:00:00,16.07
2014/02/25 12:00:00,16.06
2014/02/26 04:00:00,16.06
2014/02/26 08:00:00,16.14
2014/02/26 12:00:00,16.12
2014/02/27 08:00:00,15.99
2014/02/27 12:00:00,16.0
2014/03/13 04:00:00,15.16
2014/03/14 04:00:00,15.33
2014/03/14 08:00:00,15.31
2014/03/14 12:00:00,15.25
2014/03/15 04:00:00,15.37
2014/03/15 08:00:00,15.4
2014/03/15 12:00:00,15.38
2014/03/16 04:00:00,15.54
2014/03/16 08:00:00,15.51
2014/03/16 12:00:00,15.42
2014/03/17 04:00:00,15.7
2014/03/17 08:00:00,15.67
2014/03/17 12:00:00,15.62
2014/03/18 04:00:00,15.82
2014/03/18 08:00:00,15.8
2014/03/18 12:00:00,15.76
2014/03/19 04:00:00,15.96
2014/03/19 08:00:00,15.93
2014/03/19 12:00:00,15.87
2014/03/20 04:00:00,16.16
2014/03/20 08:00:00,16.12
2014/03/20 12:00:00,16.05
