Well ID,X_54012,Y_54012,WTD
00100410001,653507.2026960436,5601419.538637903,4.2330684781117265
00103010001,646140.3192976579,5610458.517343586,6.830339119254261
00103510001,603244.3781801998,5537610.3775717,24.340490125856995
00104110001,611901.4561768,5542728.060352238,23.17698250106693
00104710001,649604.298404283,5586450.259089967,47.59068575903457
00105110001,626703.8260570598,5551093.244875368,3.1008241165362547
00105910001,637399.5647839564,5540912.357504669,6.004279413174794
00105910002,634244.2743921233,5543793.5914939055,5.918403428343555
00106310001,628910.3444619471,5574074.229852389,4.975341417910471
00107010001,609391.0531632534,5533086.856693589,22.64658714748035
00108210001,651756.5608535702,5578223.455731449,9.289275206315002
00108610002,623788.6907698215,5577749.246831118,14.92206141597949
00109010001,624186.6748620762,5565684.761209956,26.40771648930977
00109910003,624630.7742303638,5569832.2658780515,14.88113941412756
00112710001,632817.7095850038,5551778.320109345,4.125339969372121
00113010001,635637.4456228811,5576764.083189739,3.943967237527916
00117110001,621174.20488602,5557443.012280403,14.858989617895714
00121710001,636823.5659943579,5587140.946564585,3.759414438220079
00122510001,655838.4871846335,5581700.207201424,20.710937467157077
00124810001,628339.5508300944,5579384.07240876,2.3293385050843844
00126010001,618392.2318596422,5543954.232889776,2.54539670223086
00126910001,648645.8029555934,5597220.180817135,8.426608187134482
00127210001,631020.6977721108,5561129.059358473,21.71691186596268
00127210003,636118.5195063557,5564012.857554327,7.692076124567474
00129210001,628123.0358815341,5569470.607504458,16.333411093830875
00129310001,661437.4003734532,5576021.877266667,9.730256496415805
00130110001,621630.035461822,5581433.088943394,3.348816617320485
00131010001,624255.7185599161,5541765.512956029,2.724645911734496
00131410001,640144.6621412383,5576017.980556244,3.8711996971008364
00200410001,664813.8483790326,5594846.707094077,39.49916302020277
00201110001,668689.3302362257,5590355.115691626,5.639267515923589
00201710001,696018.3985665017,5593610.639494659,1.6816402786573754
00202110001,680271.3125607418,5607225.228675575,14.647089629715063
00203210001,674650.8784574226,5599713.973438605,2.0745185185185213
00205210001,675607.609550571,5590687.849058751,2.4181287792122843
00205910001,682126.0850610685,5601004.785811104,4.429719725818737
00206110001,688106.6873185073,5620141.443527266,9.096906497292817
00206210001,689396.3677857653,5612287.481888906,4.7712119843420435
00207010001,687112.0026304434,5586712.36029916,2.1388350785340156
00208210001,702133.4199388403,5576341.455804501,2.08108020348523
00209110001,693401.6265819496,5580767.421807065,1.9279049972542592
00209310001,698485.0464546795,5583382.66882606,2.033159550561789
00211810001,681052.3841739412,5583109.9178395895,4.077709880605433
00212210001,683214.1497414723,5612517.223281565,4.096184356851578
00212610001,679075.434112692,5590385.136604596,2.274954781319505
00212810001,660012.1706397015,5581508.111441763,14.093680670285638
00214810001,683873.5063574028,5576559.962634087,1.2273292589763172
00214810002,675038.9638782686,5583079.159968627,3.21592473745624
00215810001,691518.1098413637,5589763.324602033,3.654932371505874
00301810001,695638.0391425156,5604400.2581921695,1.7612854122621655
00303010001,705485.1683846916,5611000.38704695,3.810199871740065
00303210001,710528.9948518781,5609535.564226629,5.261607160324743
00304910001,722680.2254610105,5599700.183644276,6.373398181433704
00307310001,691736.5725976592,5618526.669754073,5.343500501504487
00307710001,707131.896366636,5595515.378185841,2.341635928961753
00308310001,692972.7924390811,5608402.494345796,1.7035500180570542
00310010001,702707.4400911892,5616046.451628134,3.1041894612196703
00310610001,708719.4037188145,5601243.630542305,13.264429631764827
00310810001,708521.5569528757,5619421.622766311,21.34097721346783
00313110001,717394.5272115071,5604549.329974741,9.869631615529743
00313510001,702455.8190233718,5603737.871964776,2.136924290220811
00314310001,701065.3595588881,5622458.09246887,4.810310895607519
00314910001,718394.886975972,5601061.696382804,4.911667319493418
00315810001,713573.6203859941,5592390.721674641,1.5098635563380334
